Chassis.Axle.Row1.Wheel.Right.Brake.BrakesWorn,OICBinarySwitch
Chassis.Axle.Row1.Wheel.Right.Brake.FluidLevel,OICOpenLevel
Chassis.Axle.Row1.Wheel.Right.Brake.FluidLevelLow,OICBinarySwitch
Chassis.Axle.Row1.Wheel.Right.Brake.PadWear,OICOpenLevel
Chassis.Axle.Row1.Wheel.Right.Tire.Pressure,OICAtmosphericPressureSensor
Chassis.Axle.Row1.Wheel.Right.Tire.PressureLow,OICBinarySwitch
Chassis.Axle.Row1.Wheel.Right.Tire.Temperature,OICTemperature
Chassis.Axle.Row1.WheelCount,OICAxle
Chassis.Axle.Row1.WheelDiameter,OICDistance
Chassis.Axle.Row1.WheelWidth,OICDistance
Chassis.Brake.PedalPosition,OICMode
Chassis.CurbWeight,OICWeight
Chassis.GrossWeight,OICWeight
Chassis.Height,OICDistance
Chassis.Length,OICDistance
Chassis.SteeringWheel.Angle,OICWheel
Chassis.SteeringWheel.Extension,OICWheel
Chassis.SteeringWheel.Tilt,OICWheel
Chassis.TowWeight,OICWeight
Chassis.Track,OICDistance
Chassis.Wheelbase,OICDistance
Chassis.Width,OICDistance
Drivetrain.BatteryManagement.BatteryCapacity,OICBattery
Drivetrain.BatteryManagement.BatteryTemperature,OICTemperature
Drivetrain.FuelSystem.AverageConsumption,OICConsumables
Drivetrain.FuelSystem.ConsumptionSinceStart,OICConsumables
Drivetrain.FuelSystem.InstantConsumption,OICConsumables
Drivetrain.FuelSystem.Range,OICDistance
Drivetrain.FuelSystem.TankCapacity,OICVolume
Drivetrain.FuelSystem.TimeSinceStart,OICTimePeriod
Drivetrain.InternalCombustionEngine.Configuration,OICMode
Drivetrain.InternalCombustionEngine.Displacement,OICVolume
Drivetrain.InternalCombustionEngine.Engine.AmbientAirTemperature,OICTemperature
Drivetrain.InternalCombustionEngine.Engine.ECT,OICTemperature
Drivetrain.InternalCombustionEngine.Engine.EOP,OICPressure
Drivetrain.InternalCombustionEngine.Engine.EOT,OICTemperature
Drivetrain.InternalCombustionEngine.Engine.MAF,OICMode
Drivetrain.InternalCombustionEngine.Engine.MAP,OICPressure
